date,channelgrouping,cost,currency,market
07/01/2018,search_organic,0,EUR,Europe
08/01/2018,adwords,51.36,EUR,Lat.Am.
08/01/2018,adwords,56.71,EUR,Europe
08/01/2018,direct,0,EUR,Lat.Am.
08/01/2018,direct,0,EUR,Europe
08/01/2018,facebook,82.11,EUR,Lat.Am.
08/01/2018,facebook,85.33,EUR,Europe
08/01/2018,search_brand,31.5,EUR,Lat.Am.
08/01/2018,search_brand,32.2,EUR,Europe
08/01/2018,search_organic,0,EUR,Lat.Am.
08/01/2018,search_organic,0,EUR,Europe
09/01/2018,adwords,41.6,EUR,Lat.Am.
09/01/2018,adwords,38.4,EUR,Europe
09/01/2018,blog,0,EUR,Lat.Am.
09/01/2018,blog,0,EUR,Europe
09/01/2018,direct,0,EUR,Lat.Am.
09/01/2018,direct,0,EUR,Europe
09/01/2018,facebook,34.02,EUR,Lat.Am.
09/01/2018,facebook,47.79,EUR,Europe
09/01/2018,search_brand,25.96,EUR,Lat.Am.
09/01/2018,search_brand,22.88,EUR,Europe
09/01/2018,search_organic,0,EUR,Lat.Am.
09/01/2018,search_organic,0,EUR,Europe
10/01/2018,blog,0,EUR,Lat.Am.
10/01/2018,blog,0,EUR,Europe
10/01/2018,direct,0,EUR,Lat.Am.
10/01/2018,direct,0,EUR,Europe
10/01/2018,facebook,72,EUR,Lat.Am.
10/01/2018,facebook,72,EUR,Europe
10/01/2018,search_brand,39.05,EUR,Lat.Am.
10/01/2018,search_brand,37.63,EUR,Europe
10/01/2018,search_organic,0,EUR,Lat.Am.
10/01/2018,search_organic,0,EUR,Europe
11/01/2018,adwords,76.5,EUR,Lat.Am.
11/01/2018,adwords,90.1,EUR,Europe
11/01/2018,blog,0,EUR,Lat.Am.
11/01/2018,blog,0,EUR,Europe
11/01/2018,direct,0,EUR,Lat.Am.
11/01/2018,direct,0,EUR,Europe
11/01/2018,facebook,44.28,EUR,Lat.Am.
11/01/2018,facebook,55.08,EUR,Europe
11/01/2018,search_brand,34.02,EUR,Lat.Am.
11/01/2018,search_brand,37.26,EUR,Europe
11/01/2018,search_organic,0,EUR,Lat.Am.
11/01/2018,search_organic,0,EUR,Europe
12/01/2018,adwords,35.4,EUR,Lat.Am.
12/01/2018,adwords,27,EUR,Europe
12/01/2018,blog,0,EUR,Lat.Am.
12/01/2018,blog,0,EUR,Europe
12/01/2018,direct,0,EUR,Lat.Am.
12/01/2018,direct,0,EUR,Europe
12/01/2018,facebook,149.93,EUR,Lat.Am.
12/01/2018,facebook,169.07,EUR,Europe
12/01/2018,search_brand,9.87,EUR,Lat.Am.
12/01/2018,search_brand,12.18,EUR,Europe
12/01/2018,search_organic,0,EUR,Lat.Am.
12/01/2018,search_organic,0,EUR,Europe
13/01/2018,adwords,81.9,EUR,Lat.Am.
13/01/2018,adwords,105.56,EUR,Europe
13/01/2018,blog,0,EUR,Lat.Am.
13/01/2018,blog,0,EUR,Europe
13/01/2018,direct,0,EUR,Lat.Am.
13/01/2018,direct,0,EUR,Europe
13/01/2018,facebook,154.47,EUR,Lat.Am.
13/01/2018,facebook,135.5,EUR,Europe
13/01/2018,search_brand,36,EUR,Lat.Am.
13/01/2018,search_brand,45.6,EUR,Europe
13/01/2018,search_organic,0,EUR,Lat.Am.
13/01/2018,search_organic,0,EUR,Europe
14/01/2018,adwords,47.56,EUR,Lat.Am.
14/01/2018,adwords,44.28,EUR,Europe
14/01/2018,blog,0,EUR,Lat.Am.
14/01/2018,blog,0,EUR,Europe
14/01/2018,direct,0,EUR,Lat.Am.
14/01/2018,direct,0,EUR,Europe
14/01/2018,facebook,50.4,EUR,Lat.Am.
14/01/2018,facebook,38.7,EUR,Europe
14/01/2018,search_brand,14.76,EUR,Lat.Am.
14/01/2018,search_brand,16.56,EUR,Europe
14/01/2018,search_organic,0,EUR,Lat.Am.
14/01/2018,search_organic,0,EUR,Europe
15/01/2018,adwords,34.2,EUR,Lat.Am.
15/01/2018,adwords,33,EUR,Europe
15/01/2018,blog,0,EUR,Lat.Am.
15/01/2018,blog,0,EUR,Europe
15/01/2018,facebook,32.8,EUR,Lat.Am.
15/01/2018,facebook,45.92,EUR,Europe
15/01/2018,search_brand,12.04,EUR,Lat.Am.
15/01/2018,search_brand,11.2,EUR,Europe
16/01/2018,adwords,7.74,EUR,Lat.Am.
16/01/2018,adwords,9.72,EUR,Europe
16/01/2018,blog,0,EUR,Lat.Am.
16/01/2018,blog,0,EUR,Europe
16/01/2018,direct,0,EUR,Lat.Am.
16/01/2018,direct,0,EUR,Europe
16/01/2018,facebook,36.08,EUR,Lat.Am.
16/01/2018,facebook,37.72,EUR,Europe
16/01/2018,search_brand,23.37,EUR,Lat.Am.
16/01/2018,search_brand,24.51,EUR,Europe
16/01/2018,search_organic,0,EUR,Lat.Am.
16/01/2018,search_organic,0,EUR,Europe
17/01/2018,adwords,81.42,EUR,Lat.Am.
17/01/2018,adwords,59.34,EUR,Europe
17/01/2018,blog,0,EUR,Lat.Am.
17/01/2018,blog,0,EUR,Europe
17/01/2018,direct,0,EUR,Lat.Am.
17/01/2018,direct,0,EUR,Europe
17/01/2018,facebook,95.93,EUR,Lat.Am.
17/01/2018,facebook,86.88,EUR,Europe
17/01/2018,search_brand,35.26,EUR,Lat.Am.
17/01/2018,search_brand,35.26,EUR,Europe
17/01/2018,search_organic,0,EUR,Lat.Am.
17/01/2018,search_organic,0,EUR,Europe
18/01/2018,adwords,58.05,EUR,Lat.Am.
18/01/2018,adwords,63.45,EUR,Europe
18/01/2018,blog,0,EUR,Lat.Am.
18/01/2018,blog,0,EUR,Europe
18/01/2018,direct,0,EUR,Lat.Am.
18/01/2018,direct,0,EUR,Europe
18/01/2018,facebook,87.32,EUR,Lat.Am.
18/01/2018,facebook,85.84,EUR,Europe
18/01/2018,search_brand,4.13,EUR,Lat.Am.
18/01/2018,search_brand,3.99,EUR,Europe
19/01/2018,adwords,31.5,EUR,Lat.Am.
19/01/2018,adwords,25.83,EUR,Europe
19/01/2018,blog,0,EUR,Lat.Am.
19/01/2018,blog,0,EUR,Europe
19/01/2018,direct,0,EUR,Lat.Am.
19/01/2018,direct,0,EUR,Europe
19/01/2018,facebook,73.32,EUR,Lat.Am.
19/01/2018,facebook,73.32,EUR,Europe
19/01/2018,search_brand,33.12,EUR,Lat.Am.
19/01/2018,search_brand,41.4,EUR,Europe
19/01/2018,search_organic,0,EUR,Lat.Am.
19/01/2018,search_organic,0,EUR,Europe
20/01/2018,adwords,32.76,EUR,Lat.Am.
20/01/2018,adwords,31.5,EUR,Europe
20/01/2018,blog,0,EUR,Lat.Am.
20/01/2018,blog,0,EUR,Europe
20/01/2018,facebook,67.13,EUR,Lat.Am.
20/01/2018,facebook,69.87,EUR,Europe
20/01/2018,search_brand,58.8,EUR,Lat.Am.
20/01/2018,search_brand,45.15,EUR,Europe
21/01/2018,adwords,15.95,EUR,Lat.Am.
21/01/2018,adwords,13.05,EUR,Europe
21/01/2018,direct,0,EUR,Lat.Am.
21/01/2018,direct,0,EUR,Europe
21/01/2018,facebook,38.25,EUR,Lat.Am.
21/01/2018,facebook,31.5,EUR,Europe
21/01/2018,search_brand,15.18,EUR,Lat.Am.
21/01/2018,search_brand,16.17,EUR,Europe
21/01/2018,search_organic,0,EUR,Lat.Am.
21/01/2018,search_organic,0,EUR,Europe
22/01/2018,adwords,27.28,EUR,Lat.Am.
22/01/2018,adwords,36.58,EUR,Europe
22/01/2018,blog,0,EUR,Lat.Am.
22/01/2018,blog,0,EUR,Europe
22/01/2018,direct,0,EUR,Lat.Am.
22/01/2018,direct,0,EUR,Europe
22/01/2018,facebook,24.78,EUR,Lat.Am.
22/01/2018,facebook,31.86,EUR,Europe
22/01/2018,search_brand,8.55,EUR,Lat.Am.
22/01/2018,search_brand,9.12,EUR,Europe
22/01/2018,search_organic,0,EUR,Lat.Am.
22/01/2018,search_organic,0,EUR,Europe
23/01/2018,adwords,26,EUR,Lat.Am.
23/01/2018,adwords,24.96,EUR,Europe
23/01/2018,blog,0,EUR,Lat.Am.
23/01/2018,blog,0,EUR,Europe
23/01/2018,direct,0,EUR,Lat.Am.
23/01/2018,direct,0,EUR,Europe
23/01/2018,facebook,40.89,EUR,Lat.Am.
23/01/2018,facebook,43.5,EUR,Europe
23/01/2018,search_brand,14.5,EUR,Lat.Am.
23/01/2018,search_brand,15.08,EUR,Europe
23/01/2018,search_organic,0,EUR,Lat.Am.
23/01/2018,search_organic,0,EUR,Europe
24/01/2018,adwords,41.4,EUR,Lat.Am.
24/01/2018,adwords,31.74,EUR,Europe
24/01/2018,blog,0,EUR,Lat.Am.
24/01/2018,blog,0,EUR,Europe
24/01/2018,direct,0,EUR,Lat.Am.
24/01/2018,direct,0,EUR,Europe
24/01/2018,facebook,10.5,EUR,Lat.Am.
24/01/2018,facebook,10.75,EUR,Europe
24/01/2018,search_brand,45.76,EUR,Lat.Am.
24/01/2018,search_brand,39.6,EUR,Europe
25/01/2018,adwords,28.29,EUR,Lat.Am.
25/01/2018,adwords,41.4,EUR,Europe
25/01/2018,blog,0,EUR,Lat.Am.
25/01/2018,blog,0,EUR,Europe
25/01/2018,direct,0,EUR,Lat.Am.
25/01/2018,direct,0,EUR,Europe
25/01/2018,facebook,48.48,EUR,Lat.Am.
25/01/2018,facebook,46.46,EUR,Europe
25/01/2018,search_brand,19.2,EUR,Lat.Am.
25/01/2018,search_brand,21.2,EUR,Europe
25/01/2018,search_organic,0,EUR,Lat.Am.
25/01/2018,search_organic,0,EUR,Europe
26/01/2018,adwords,22.5,EUR,Lat.Am.
26/01/2018,adwords,25.2,EUR,Europe
26/01/2018,blog,0,EUR,Lat.Am.
26/01/2018,blog,0,EUR,Europe
26/01/2018,direct,0,EUR,Lat.Am.
26/01/2018,direct,0,EUR,Europe
26/01/2018,facebook,49.59,EUR,Lat.Am.
26/01/2018,facebook,43.5,EUR,Europe
26/01/2018,search_brand,31.28,EUR,Lat.Am.
26/01/2018,search_brand,38.08,EUR,Europe
26/01/2018,search_organic,0,EUR,Lat.Am.
26/01/2018,search_organic,0,EUR,Europe
27/01/2018,adwords,58.22,EUR,Lat.Am.
27/01/2018,adwords,61.06,EUR,Europe
27/01/2018,blog,0,EUR,Lat.Am.
27/01/2018,blog,0,EUR,Europe
27/01/2018,direct,0,EUR,Lat.Am.
27/01/2018,direct,0,EUR,Europe
27/01/2018,facebook,31.16,EUR,Lat.Am.
27/01/2018,facebook,39.52,EUR,Europe
27/01/2018,search_brand,45.1,EUR,Lat.Am.
27/01/2018,search_brand,41.82,EUR,Europe
27/01/2018,search_organic,0,EUR,Lat.Am.
27/01/2018,search_organic,0,EUR,Europe
28/01/2018,adwords,56.12,EUR,Lat.Am.
28/01/2018,adwords,63.44,EUR,Europe
28/01/2018,facebook,16.5,EUR,Lat.Am.
28/01/2018,facebook,14.52,EUR,Europe
28/01/2018,search_brand,22.68,EUR,Lat.Am.
28/01/2018,search_brand,19.74,EUR,Europe
29/01/2018,adwords,25.37,EUR,Lat.Am.
29/01/2018,adwords,23.22,EUR,Europe
29/01/2018,facebook,47.04,EUR,Lat.Am.
29/01/2018,facebook,46.2,EUR,Europe
29/01/2018,search_brand,6.72,EUR,Lat.Am.
29/01/2018,search_brand,7.2,EUR,Europe
29/01/2018,search_organic,0,EUR,Lat.Am.
29/01/2018,search_organic,0,EUR,Europe
30/01/2018,adwords,89.25,EUR,Lat.Am.
30/01/2018,adwords,103.25,EUR,Europe
30/01/2018,blog,0,EUR,Lat.Am.
30/01/2018,blog,0,EUR,Europe
30/01/2018,direct,0,EUR,Lat.Am.
30/01/2018,direct,0,EUR,Europe
30/01/2018,facebook,53.69,EUR,Lat.Am.
30/01/2018,facebook,49.14,EUR,Europe
30/01/2018,search_brand,5.13,EUR,Lat.Am.
30/01/2018,search_brand,4.14,EUR,Europe
30/01/2018,search_organic,0,EUR,Lat.Am.
30/01/2018,search_organic,0,EUR,Europe
31/01/2018,adwords,10.8,EUR,Lat.Am.
31/01/2018,adwords,8.8,EUR,Europe
31/01/2018,blog,0,EUR,Lat.Am.
31/01/2018,blog,0,EUR,Europe
31/01/2018,direct,0,EUR,Lat.Am.
31/01/2018,direct,0,EUR,Europe
31/01/2018,facebook,66.25,EUR,Lat.Am.
31/01/2018,facebook,60,EUR,Europe
31/01/2018,search_brand,60,EUR,Lat.Am.
31/01/2018,search_brand,67.5,EUR,Europe
01/02/2018,adwords,31.35,EUR,Lat.Am.
01/02/2018,adwords,30.21,EUR,Europe
01/02/2018,direct,0,EUR,Lat.Am.
01/02/2018,direct,0,EUR,Europe
01/02/2018,facebook,62.04,EUR,Lat.Am.
01/02/2018,facebook,64.86,EUR,Europe
01/02/2018,search_brand,44.44,EUR,Lat.Am.
01/02/2018,search_brand,55.55,EUR,Europe
01/02/2018,search_organic,0,EUR,Lat.Am.
01/02/2018,search_organic,0,EUR,Europe
02/02/2018,adwords,35.42,EUR,Lat.Am.
02/02/2018,adwords,39.27,EUR,Europe
02/02/2018,blog,0,EUR,Lat.Am.
02/02/2018,blog,0,EUR,Europe
02/02/2018,direct,0,EUR,Lat.Am.
02/02/2018,direct,0,EUR,Europe
02/02/2018,facebook,65.52,EUR,Lat.Am.
02/02/2018,facebook,63,EUR,Europe
02/02/2018,search_brand,102.85,EUR,Lat.Am.
02/02/2018,search_brand,87.89,EUR,Europe
02/02/2018,search_organic,0,EUR,Lat.Am.
02/02/2018,search_organic,0,EUR,Europe
03/02/2018,adwords,51.84,EUR,Lat.Am.
03/02/2018,adwords,56.64,EUR,Europe
03/02/2018,blog,0,EUR,Lat.Am.
03/02/2018,blog,0,EUR,Europe
03/02/2018,direct,0,EUR,Lat.Am.
03/02/2018,direct,0,EUR,Europe
03/02/2018,facebook,127.6,EUR,Lat.Am.
03/02/2018,facebook,112.2,EUR,Europe
03/02/2018,search_brand,28.8,EUR,Lat.Am.
03/02/2018,search_brand,36.72,EUR,Europe
03/02/2018,search_organic,0,EUR,Lat.Am.
03/02/2018,search_organic,0,EUR,Europe
04/02/2018,adwords,4.4,EUR,Lat.Am.
04/02/2018,adwords,5.4,EUR,Europe
04/02/2018,blog,0,EUR,Lat.Am.
04/02/2018,blog,0,EUR,Europe
04/02/2018,direct,0,EUR,Lat.Am.
04/02/2018,direct,0,EUR,Europe
04/02/2018,facebook,53.94,EUR,Lat.Am.
04/02/2018,facebook,40.92,EUR,Europe
04/02/2018,search_brand,45.24,EUR,Lat.Am.
04/02/2018,search_brand,34.8,EUR,Europe
04/02/2018,search_organic,0,EUR,Lat.Am.
04/02/2018,search_organic,0,EUR,Europe
05/02/2018,adwords,29.44,EUR,Lat.Am.
05/02/2018,adwords,32,EUR,Europe
05/02/2018,direct,0,EUR,Lat.Am.
05/02/2018,direct,0,EUR,Europe
05/02/2018,facebook,63.07,EUR,Lat.Am.
05/02/2018,facebook,65.45,EUR,Europe
05/02/2018,search_brand,15.34,EUR,Lat.Am.
05/02/2018,search_brand,15.6,EUR,Europe
05/02/2018,search_organic,0,EUR,Lat.Am.
05/02/2018,search_organic,0,EUR,Europe
06/02/2018,adwords,5.88,EUR,Lat.Am.
06/02/2018,adwords,5.74,EUR,Europe
06/02/2018,blog,0,EUR,Lat.Am.
06/02/2018,blog,0,EUR,Europe
06/02/2018,facebook,18.49,EUR,Lat.Am.
06/02/2018,facebook,21.5,EUR,Europe
06/02/2018,search_brand,40.8,EUR,Lat.Am.
06/02/2018,search_brand,38.4,EUR,Europe
07/02/2018,adwords,21.15,EUR,Lat.Am.
07/02/2018,adwords,25.38,EUR,Europe
07/02/2018,blog,0,EUR,Lat.Am.
07/02/2018,blog,0,EUR,Europe
07/02/2018,direct,0,EUR,Lat.Am.
07/02/2018,direct,0,EUR,Europe
07/02/2018,facebook,50.4,EUR,Lat.Am.
07/02/2018,facebook,56.4,EUR,Europe
07/02/2018,search_brand,65.52,EUR,Lat.Am.
07/02/2018,search_brand,61.74,EUR,Europe
07/02/2018,search_organic,0,EUR,Lat.Am.
07/02/2018,search_organic,0,EUR,Europe
08/02/2018,adwords,74.48,EUR,Lat.Am.
08/02/2018,adwords,74.48,EUR,Europe
08/02/2018,blog,0,EUR,Lat.Am.
08/02/2018,blog,0,EUR,Europe
08/02/2018,direct,0,EUR,Lat.Am.
08/02/2018,direct,0,EUR,Europe
08/02/2018,facebook,64.4,EUR,Lat.Am.
08/02/2018,facebook,64.4,EUR,Europe
08/02/2018,search_brand,18,EUR,Lat.Am.
08/02/2018,search_brand,16.56,EUR,Europe
08/02/2018,search_organic,0,EUR,Lat.Am.
08/02/2018,search_organic,0,EUR,Europe
09/02/2018,adwords,74.2,EUR,Lat.Am.
09/02/2018,adwords,61.6,EUR,Europe
09/02/2018,blog,0,EUR,Lat.Am.
09/02/2018,blog,0,EUR,Europe
09/02/2018,direct,0,EUR,Lat.Am.
09/02/2018,direct,0,EUR,Europe
09/02/2018,facebook,76.8,EUR,Lat.Am.
09/02/2018,facebook,70.4,EUR,Europe
09/02/2018,search_brand,68.2,EUR,Lat.Am.
09/02/2018,search_brand,50.84,EUR,Europe
09/02/2018,search_organic,0,EUR,Lat.Am.
09/02/2018,search_organic,0,EUR,Europe
10/02/2018,adwords,37.6,EUR,Lat.Am.
10/02/2018,adwords,43.24,EUR,Europe
10/02/2018,blog,0,EUR,Lat.Am.
10/02/2018,blog,0,EUR,Europe
10/02/2018,direct,0,EUR,Lat.Am.
10/02/2018,direct,0,EUR,Europe
10/02/2018,facebook,61.1,EUR,Lat.Am.
10/02/2018,facebook,61.1,EUR,Europe
10/02/2018,search_brand,31.16,EUR,Lat.Am.
10/02/2018,search_brand,45.6,EUR,Europe
10/02/2018,search_organic,0,EUR,Lat.Am.
10/02/2018,search_organic,0,EUR,Europe
11/02/2018,adwords,16.65,EUR,Lat.Am.
11/02/2018,adwords,21.83,EUR,Europe
11/02/2018,blog,0,EUR,Lat.Am.
11/02/2018,blog,0,EUR,Europe
11/02/2018,facebook,4.64,EUR,Lat.Am.
11/02/2018,facebook,4.64,EUR,Europe
11/02/2018,search_brand,13.8,EUR,Lat.Am.
11/02/2018,search_brand,15.3,EUR,Europe
12/02/2018,adwords,11.88,EUR,Lat.Am.
12/02/2018,adwords,10.78,EUR,Europe
12/02/2018,blog,0,EUR,Lat.Am.
12/02/2018,blog,0,EUR,Europe
12/02/2018,direct,0,EUR,Lat.Am.
12/02/2018,direct,0,EUR,Europe
12/02/2018,facebook,51.66,EUR,Lat.Am.
12/02/2018,facebook,68.04,EUR,Europe
12/02/2018,search_brand,35.4,EUR,Lat.Am.
12/02/2018,search_brand,30.09,EUR,Europe
12/02/2018,search_organic,0,EUR,Lat.Am.
12/02/2018,search_organic,0,EUR,Europe
13/02/2018,adwords,49.98,EUR,Lat.Am.
13/02/2018,adwords,52.02,EUR,Europe
13/02/2018,blog,0,EUR,Lat.Am.
13/02/2018,blog,0,EUR,Europe
13/02/2018,direct,0,EUR,Lat.Am.
13/02/2018,direct,0,EUR,Europe
13/02/2018,facebook,63.13,EUR,Lat.Am.
13/02/2018,facebook,59.92,EUR,Europe
13/02/2018,search_brand,12.25,EUR,Lat.Am.
13/02/2018,search_brand,12.25,EUR,Europe
13/02/2018,search_organic,0,EUR,Lat.Am.
13/02/2018,search_organic,0,EUR,Europe
14/02/2018,adwords,61.48,EUR,Lat.Am.
14/02/2018,adwords,48.76,EUR,Europe
14/02/2018,blog,0,EUR,Lat.Am.
14/02/2018,blog,0,EUR,Europe
14/02/2018,direct,0,EUR,Lat.Am.
14/02/2018,direct,0,EUR,Europe
14/02/2018,facebook,47.17,EUR,Lat.Am.
14/02/2018,facebook,48.06,EUR,Europe
14/02/2018,search_brand,5,EUR,Lat.Am.
14/02/2018,search_brand,5.1,EUR,Europe
14/02/2018,search_organic,0,EUR,Lat.Am.
14/02/2018,search_organic,0,EUR,Europe
15/02/2018,adwords,49.2,EUR,Lat.Am.
15/02/2018,adwords,59.04,EUR,Europe
15/02/2018,blog,0,EUR,Lat.Am.
15/02/2018,blog,0,EUR,Europe
15/02/2018,direct,0,EUR,Lat.Am.
15/02/2018,direct,0,EUR,Europe
15/02/2018,facebook,48.38,EUR,Lat.Am.
15/02/2018,facebook,41,EUR,Europe
15/02/2018,search_brand,24.84,EUR,Lat.Am.
15/02/2018,search_brand,18.4,EUR,Europe
15/02/2018,search_organic,0,EUR,Lat.Am.
15/02/2018,search_organic,0,EUR,Europe
16/02/2018,adwords,103.14,EUR,Lat.Am.
16/02/2018,adwords,106.96,EUR,Europe
16/02/2018,blog,0,EUR,Lat.Am.
16/02/2018,blog,0,EUR,Europe
16/02/2018,direct,0,EUR,Lat.Am.
16/02/2018,direct,0,EUR,Europe
16/02/2018,facebook,45.51,EUR,Lat.Am.
16/02/2018,facebook,57.72,EUR,Europe
16/02/2018,search_brand,43.68,EUR,Lat.Am.
16/02/2018,search_brand,52.78,EUR,Europe
16/02/2018,search_organic,0,EUR,Lat.Am.
16/02/2018,search_organic,0,EUR,Europe
17/02/2018,adwords,81.34,EUR,Lat.Am.
17/02/2018,adwords,91.3,EUR,Europe
17/02/2018,blog,0,EUR,Lat.Am.
17/02/2018,blog,0,EUR,Europe
17/02/2018,direct,0,EUR,Lat.Am.
17/02/2018,direct,0,EUR,Europe
17/02/2018,facebook,46.35,EUR,Lat.Am.
17/02/2018,facebook,49.44,EUR,Europe
17/02/2018,search_brand,26.68,EUR,Lat.Am.
17/02/2018,search_brand,22.08,EUR,Europe
17/02/2018,search_organic,0,EUR,Lat.Am.
17/02/2018,search_organic,0,EUR,Europe
18/02/2018,adwords,43.61,EUR,Lat.Am.
18/02/2018,adwords,40.94,EUR,Europe
18/02/2018,blog,0,EUR,Lat.Am.
18/02/2018,blog,0,EUR,Europe
18/02/2018,direct,0,EUR,Lat.Am.
18/02/2018,direct,0,EUR,Europe
18/02/2018,facebook,42.72,EUR,Lat.Am.
18/02/2018,facebook,40.94,EUR,Europe
19/02/2018,adwords,24.64,EUR,Lat.Am.
19/02/2018,adwords,33.04,EUR,Europe
19/02/2018,blog,0,EUR,Lat.Am.
19/02/2018,blog,0,EUR,Europe
19/02/2018,facebook,51.66,EUR,Lat.Am.
19/02/2018,facebook,52.89,EUR,Europe
19/02/2018,search_brand,21.62,EUR,Lat.Am.
19/02/2018,search_brand,22.54,EUR,Europe
19/02/2018,search_organic,0,EUR,Lat.Am.
19/02/2018,search_organic,0,EUR,Europe
20/02/2018,adwords,8.6,EUR,Lat.Am.
20/02/2018,adwords,10,EUR,Europe
20/02/2018,blog,0,EUR,Lat.Am.
20/02/2018,blog,0,EUR,Europe
20/02/2018,direct,0,EUR,Lat.Am.
20/02/2018,direct,0,EUR,Europe
20/02/2018,facebook,72.03,EUR,Lat.Am.
20/02/2018,facebook,73.5,EUR,Europe
20/02/2018,search_brand,52.64,EUR,Lat.Am.
20/02/2018,search_brand,41.36,EUR,Europe
20/02/2018,search_organic,0,EUR,Lat.Am.
20/02/2018,search_organic,0,EUR,Europe
21/02/2018,adwords,15.93,EUR,Lat.Am.
21/02/2018,adwords,14.31,EUR,Europe
21/02/2018,blog,0,EUR,Lat.Am.
21/02/2018,blog,0,EUR,Europe
21/02/2018,direct,0,EUR,Lat.Am.
21/02/2018,direct,0,EUR,Europe
21/02/2018,facebook,39.84,EUR,Lat.Am.
21/02/2018,facebook,43.16,EUR,Europe
21/02/2018,search_brand,84.66,EUR,Lat.Am.
21/02/2018,search_brand,99.6,EUR,Europe
21/02/2018,search_organic,0,EUR,Lat.Am.
21/02/2018,search_organic,0,EUR,Europe
22/02/2018,adwords,38.4,EUR,Lat.Am.
22/02/2018,adwords,38.4,EUR,Europe
22/02/2018,blog,0,EUR,Lat.Am.
22/02/2018,blog,0,EUR,Europe
22/02/2018,direct,0,EUR,Lat.Am.
22/02/2018,direct,0,EUR,Europe
22/02/2018,facebook,67.24,EUR,Lat.Am.
22/02/2018,facebook,67.24,EUR,Europe
22/02/2018,search_brand,53.58,EUR,Lat.Am.
