merchantid,orderid,date,unit_count,product_type,unit_price,currency,market,lifetime_value
528818,77845,19/06/2020,1,SUPER,18,EUR,Lat.Am.,188.29
492948,77847,14/05/2020,1,TOTAL,39,EUR,Lat.Am.,283.69
589494,77848,27/05/2020,1,AIR,29,EUR,Europe,320.62
345725,77849,26/03/2019,1,3G,39,EUR,Europe,181.71
491173,77851,08/03/2019,1,AIR,49,EUR,Europe,486
250642,77852,16/07/2018,1,AIR,39,EUR,Europe,141.86
512470,77855,30/08/2018,1,AIR,29,EUR,Europe,149.98
133488,77857,31/05/2020,1,3G,39,EUR,Europe,256.96
569907,77860,07/02/2020,1,AIR,19,EUR,Europe,264.69
732273,77863,08/06/2019,1,AIR,49,EUR,Europe,551.28
686737,77864,04/05/2020,1,AIR,29,EUR,Europe,219.7
539958,77866,03/11/2018,1,SUPER,36,EUR,Lat.Am.,213.43
355210,77869,24/05/2019,1,AIR,29,EUR,Europe,0
126242,77871,14/08/2019,1,AIR,19,EUR,Europe,155.64
314878,77874,20/04/2020,1,TOTAL,39,EUR,Lat.Am.,64.51
205916,77878,05/04/2020,1,3G,79,EUR,Europe,82
641907,77882,05/05/2019,1,3G,79,EUR,Europe,285.19
109489,77883,11/07/2019,1,AIR,49,EUR,Europe,371.93
585550,77887,12/07/2018,1,SUPER,25,EUR,Lat.Am.,0
537603,77889,30/10/2019,5,AIR,29,EUR,Europe,330.61
145720,77890,27/04/2019,1,AIR,29,EUR,Europe,0
576601,77891,31/12/2018,1,SUPER,25,EUR,Lat.Am.,461.65
564982,77895,10/03/2018,1,AIR,49,EUR,Europe,124.26
747922,77897,01/04/2020,1,3G,79,EUR,Europe,273.83
224583,77898,14/03/2020,1,3G,79,EUR,Europe,396.94
774292,77901,24/02/2020,1,AIR,49,EUR,Europe,195.49
678646,77905,14/04/2020,1,AIR,49,EUR,Europe,59.22
551544,77906,20/08/2018,1,AIR,39,EUR,Europe,157.22
244671,77907,01/02/2019,4,AIR,49,EUR,Europe,273.28
220185,77909,06/07/2020,1,3G,39,EUR,Europe,106
322840,77910,26/01/2020,1,AIR,29,EUR,Europe,491.84
229708,77913,06/06/2019,1,AIR,49,EUR,Europe,445.04
149135,77914,13/09/2018,1,AIR,49,EUR,Europe,248.11
703810,77916,22/01/2020,1,SUPER,35,EUR,Lat.Am.,374.6
386124,77917,26/02/2020,1,SUPER,25,EUR,Lat.Am.,218.46
120652,77922,02/05/2019,1,TOTAL,39,EUR,Lat.Am.,7.76
422026,77931,01/06/2018,1,SUPER,25,EUR,Lat.Am.,220
128707,77932,14/12/2019,1,TOTAL,29,EUR,Lat.Am.,520.39
756686,77934,15/05/2020,1,TOTAL,39,EUR,Lat.Am.,196.53
729135,77935,06/07/2018,1,AIR,29,EUR,Europe,231.7
680717,77936,11/04/2018,1,AIR,49,EUR,Europe,202.38
375600,77937,27/04/2020,4,AIR,49,EUR,Europe,26.86
627900,77938,01/05/2020,1,3G,79,EUR,Europe,430.1
352493,77939,14/01/2019,1,AIR,29,EUR,Europe,372.74
63376,77940,10/07/2020,1,SUPER,25,EUR,Lat.Am.,204.38
139845,77943,12/03/2020,1,AIR,49,EUR,Europe,0
256103,77946,18/01/2019,1,AIR,19,EUR,Europe,446.52
648463,77948,02/07/2019,1,3G,79,EUR,Europe,327.33
702804,77949,19/07/2019,1,SUPER,36,EUR,Lat.Am.,351.16
582864,77952,17/01/2019,1,AIR,49,EUR,Europe,0
567493,77955,26/06/2020,1,AIR,19,EUR,Europe,495.19
454472,77956,03/02/2018,1,AIR,49,EUR,Europe,344.53
373722,77958,03/08/2019,1,TOTAL,39,EUR,Lat.Am.,0
181710,77959,02/12/2018,3,AIR,29,EUR,Europe,248.57
571415,77960,21/11/2018,1,AIR,49,EUR,Europe,938.31
762472,77961,22/06/2020,1,AIR,49,EUR,Europe,0
549955,77963,23/05/2020,1,SUPER,18,EUR,Lat.Am.,217.18
703375,77964,24/08/2019,1,AIR,19,EUR,Europe,707.48
173120,77967,11/10/2019,1,TOTAL,25,EUR,Lat.Am.,0
99479,77969,21/03/2020,1,AIR,49,EUR,Europe,321.96
112523,77970,08/06/2019,1,3G,39,EUR,Europe,185.13
333914,77973,24/07/2020,1,AIR,49,EUR,Europe,0
150500,77974,28/04/2018,1,SUPER,25,EUR,Lat.Am.,508.11
630551,77975,12/11/2018,1,AIR,49,EUR,Europe,466.44
651656,77976,10/07/2020,7,AIR,19,EUR,Europe,166.71
228434,77977,10/03/2018,1,AIR,49,EUR,Europe,365.31
259958,77978,30/11/2018,1,AIR,29,EUR,Europe,282.84
548473,77980,16/06/2020,1,3G,79,EUR,Europe,159.43
515590,77982,12/09/2019,1,SUPER,25,EUR,Lat.Am.,125.47
495276,77983,27/05/2020,1,3G,79,EUR,Europe,456.84
598089,77985,16/07/2019,1,SUPER,36,EUR,Lat.Am.,0
534708,77987,12/05/2020,1,SUPER,25,EUR,Lat.Am.,115.18
406980,77988,01/02/2020,1,AIR,29,EUR,Europe,138.84
446414,77989,03/09/2018,2,SUPER,20,EUR,Lat.Am.,120.88
197895,77990,11/06/2020,1,AIR,29,EUR,Europe,15.73
515312,77992,10/03/2019,2,AIR,29,EUR,Europe,84.82
214049,77994,30/07/2020,1,TOTAL,39,EUR,Lat.Am.,279.48
363985,77995,15/05/2020,4,AIR,29,EUR,Europe,265.41
147227,77997,09/11/2018,1,TOTAL,39,EUR,Lat.Am.,0
192862,78000,18/01/2019,1,AIR,29,EUR,Europe,252.87
99880,78001,30/07/2020,8,AIR,29,EUR,Europe,18.06
688892,78003,24/05/2018,1,AIR,49,EUR,Europe,293.69
613417,78004,09/11/2019,1,3G,39,EUR,Europe,268.29
179700,78005,08/05/2018,1,SUPER,36,EUR,Lat.Am.,418.9
253256,78008,27/12/2019,3,AIR,49,EUR,Europe,299.72
346346,78009,15/11/2019,1,SUPER,35,EUR,Lat.Am.,99.54
284339,78012,15/06/2020,1,AIR,49,EUR,Europe,204.73
181641,78017,24/06/2018,1,SUPER,36,EUR,Lat.Am.,0
266772,78021,12/06/2018,1,AIR,49,EUR,Europe,332.96
118085,78022,28/07/2020,1,3G,79,EUR,Europe,142.21
510417,78023,15/06/2020,1,3G,79,EUR,Europe,632.19
608703,78024,17/05/2020,1,SUPER,18,EUR,Lat.Am.,0
362699,78025,11/01/2019,1,TOTAL,39,EUR,Lat.Am.,570.88
576130,78026,19/09/2018,1,AIR,29,EUR,Europe,431.09
672251,78027,24/06/2020,1,TOTAL,39,EUR,Lat.Am.,406.15
195717,78029,02/01/2020,1,AIR,29,EUR,Europe,484.91
383415,78030,11/07/2020,1,SUPER,25,EUR,Lat.Am.,141.14
465238,78032,07/05/2020,1,3G,39,EUR,Europe,223.32
461318,78033,16/07/2020,4,AIR,49,EUR,Europe,365.8
142765,78035,25/11/2019,2,AIR,19,EUR,Europe,0
172489,78036,24/09/2019,1,SUPER,25,EUR,Lat.Am.,0
444757,78042,11/07/2019,1,SUPER,25,EUR,Lat.Am.,201.49
575190,78043,18/02/2020,1,AIR,49,EUR,Europe,195.66
529857,78045,30/10/2019,1,AIR,29,EUR,Europe,562.77
231488,78048,21/11/2019,2,AIR,29,EUR,Europe,378.25
547438,78049,23/05/2020,1,AIR,49,EUR,Europe,296.17
751119,78050,06/04/2018,1,SUPER,36,EUR,Lat.Am.,301.37
586583,78051,10/04/2020,2,SUPER,35,EUR,Lat.Am.,523.06
169268,78053,18/06/2020,1,SUPER,18,EUR,Lat.Am.,160.37
555735,78056,25/06/2020,1,AIR,29,EUR,Europe,377.24
757209,78059,06/01/2019,1,AIR,29,EUR,Europe,321.5
364773,78060,13/04/2019,1,TOTAL,39,EUR,Lat.Am.,280.74
742018,78061,10/06/2020,1,AIR,29,EUR,Europe,532.9
730624,78062,16/07/2019,1,AIR,29,EUR,Europe,50.18
608109,78063,27/12/2019,1,3G,79,EUR,Europe,590.78
439235,78064,07/06/2018,1,AIR,49,EUR,Europe,274.94
724007,78065,09/03/2019,1,AIR,49,EUR,Europe,241.71
533438,78066,27/07/2020,1,SUPER,25,EUR,Lat.Am.,362
406063,78068,15/10/2019,4,3G,39,EUR,Europe,54.82
249054,78069,03/12/2019,1,SUPER,25,EUR,Lat.Am.,5.23
166652,78070,30/01/2019,1,AIR,19,EUR,Europe,243.92
622047,78071,06/07/2019,1,AIR,49,EUR,Europe,331.99
640356,78072,04/12/2019,1,3G,39,EUR,Europe,193.35
589510,78074,28/12/2019,1,TOTAL,29,EUR,Lat.Am.,155.69
69546,78078,13/07/2019,1,AIR,19,EUR,Europe,330.71
655812,78082,27/12/2018,1,AIR,29,EUR,Europe,0
572208,78085,16/05/2020,1,3G,39,EUR,Europe,200.23
666867,78086,15/06/2019,1,TOTAL,39,EUR,Lat.Am.,0
699300,78091,23/06/2020,9,AIR,29,EUR,Europe,0.81
610567,78092,04/10/2019,1,AIR,49,EUR,Europe,0
105991,78093,20/06/2020,1,AIR,49,EUR,Europe,363.84
743547,78094,19/12/2018,1,AIR,29,EUR,Europe,312.41
77516,78096,11/12/2019,3,3G,79,EUR,Europe,240.24
401870,78097,29/06/2020,1,AIR,29,EUR,Europe,237.33
543292,78099,06/07/2020,1,SUPER,35,EUR,Lat.Am.,188.18
188227,78101,20/03/2019,1,AIR,19,EUR,Europe,346.56
680911,78102,31/08/2018,1,SUPER,36,EUR,Lat.Am.,196.65
263073,78104,06/05/2019,1,SUPER,18,EUR,Lat.Am.,230.94
170439,78106,13/04/2018,1,SUPER,25,EUR,Lat.Am.,352.12
766575,78110,04/04/2020,1,3G,79,EUR,Europe,15.87
316720,78111,05/03/2020,1,3G,79,EUR,Europe,46.05
335888,78112,31/07/2020,1,SUPER,18,EUR,Lat.Am.,71
434098,78114,07/03/2020,1,SUPER,35,EUR,Lat.Am.,106
667952,78115,24/02/2020,1,SUPER,18,EUR,Lat.Am.,273.73
637996,78118,02/03/2019,1,SUPER,25,EUR,Lat.Am.,430.99
678950,78122,17/01/2020,1,SUPER,25,EUR,Lat.Am.,443.76
291169,78123,17/05/2019,1,3G,79,EUR,Europe,574.68
169579,78127,14/06/2020,1,AIR,19,EUR,Europe,0
385076,78128,08/01/2020,1,SUPER,25,EUR,Lat.Am.,480.45
397760,78129,27/04/2019,3,SUPER,25,EUR,Lat.Am.,101.83
695789,78135,19/10/2019,1,3G,39,EUR,Europe,322.57
191500,78136,27/03/2020,1,AIR,49,EUR,Europe,435.18
201178,78137,20/06/2018,1,AIR,49,EUR,Europe,19.98
124773,78138,12/05/2020,1,SUPER,35,EUR,Lat.Am.,0
597947,78140,06/10/2018,1,AIR,49,EUR,Europe,356.89
117281,78142,18/07/2020,1,AIR,19,EUR,Europe,0
634569,78143,07/09/2019,1,SUPER,25,EUR,Lat.Am.,513.66
339921,78146,09/06/2020,1,3G,39,EUR,Europe,98.79
642970,78147,30/04/2018,1,AIR,49,EUR,Europe,129.98
144196,78149,06/05/2020,1,3G,79,EUR,Europe,326.17
519859,78152,16/06/2020,3,AIR,19,EUR,Europe,278.69
678885,78153,17/05/2020,1,TOTAL,39,EUR,Lat.Am.,7.39
259913,78156,11/01/2019,1,AIR,19,EUR,Europe,342.71
69472,78157,25/12/2019,1,TOTAL,39,EUR,Lat.Am.,303.82
437379,78158,24/03/2020,5,AIR,49,EUR,Europe,162.49
243031,78160,10/08/2018,1,AIR,49,EUR,Europe,248.93
291473,78161,09/05/2020,1,AIR,49,EUR,Europe,339.92
437757,78162,23/07/2020,1,AIR,49,EUR,Europe,563.12
60349,78163,17/08/2019,1,SUPER,18,EUR,Lat.Am.,49.26
678061,78164,04/07/2019,1,AIR,19,EUR,Europe,267.24
599998,78167,24/10/2018,1,TOTAL,39,EUR,Lat.Am.,50.87
763845,78168,03/12/2019,1,TOTAL,29,EUR,Lat.Am.,366.79
464052,78169,12/06/2020,1,AIR,29,EUR,Europe,302.92
573567,78171,04/06/2018,1,AIR,49,EUR,Europe,263.6
112282,78172,27/03/2020,1,SUPER,25,EUR,Lat.Am.,108.7
600192,78174,29/07/2019,1,AIR,49,EUR,Europe,238.6
85233,78175,08/05/2020,1,TOTAL,39,EUR,Lat.Am.,0
478523,78176,18/04/2020,1,3G,39,EUR,Europe,191.67
397110,78178,13/05/2020,1,AIR,49,EUR,Europe,314.18
737513,78179,17/05/2020,1,SUPER,25,EUR,Lat.Am.,345.73
365618,78180,17/05/2018,1,AIR,49,EUR,Europe,537.14
532858,78183,30/11/2019,1,TOTAL,29,EUR,Lat.Am.,225.99
707701,78186,19/02/2019,1,3G,39,EUR,Europe,328.3
333039,78188,11/01/2020,1,TOTAL,25,EUR,Lat.Am.,0
113858,78193,05/12/2019,1,AIR,19,EUR,Europe,203.99
270558,78194,02/01/2019,1,SUPER,25,EUR,Lat.Am.,0
178313,78196,22/06/2020,1,3G,79,EUR,Europe,360.87
531317,78197,03/06/2020,1,AIR,19,EUR,Europe,333.64
286865,78199,22/12/2019,1,3G,39,EUR,Europe,319.07
744365,78202,02/11/2018,1,AIR,19,EUR,Europe,95.48
277606,78203,01/06/2020,1,3G,79,EUR,Europe,497.14
544144,78204,29/03/2020,1,3G,79,EUR,Europe,77.42
78276,78206,05/10/2019,1,TOTAL,39,EUR,Lat.Am.,180.09
483712,78207,28/07/2020,1,AIR,19,EUR,Europe,275.84
671401,78208,02/02/2019,2,SUPER,18,EUR,Lat.Am.,243.61
81942,78209,18/05/2019,2,3G,39,EUR,Europe,504.89
339791,78210,22/03/2019,1,AIR,29,EUR,Europe,11.51
322176,78211,23/05/2018,1,AIR,49,EUR,Europe,155.84
106989,78215,28/09/2019,1,SUPER,36,EUR,Lat.Am.,0
408878,78216,04/07/2019,1,3G,39,EUR,Europe,256.68
222865,78217,20/06/2020,1,TOTAL,39,EUR,Lat.Am.,264.04
749890,78218,02/06/2020,1,AIR,19,EUR,Europe,0
73648,78219,23/06/2019,1,AIR,19,EUR,Europe,469.89
115689,78222,27/05/2020,1,AIR,29,EUR,Europe,393.54
711108,78223,31/10/2018,1,AIR,49,EUR,Europe,0
147051,78225,21/02/2020,1,AIR,29,EUR,Europe,457.73
579618,78226,09/05/2020,1,AIR,49,EUR,Europe,158.11
620293,78227,30/07/2018,1,AIR,29,EUR,Europe,428.88
419333,78231,27/03/2020,1,3G,79,EUR,Europe,549.59
497304,78233,18/12/2019,1,AIR,29,EUR,Europe,0
606987,78234,16/05/2020,1,SUPER,18,EUR,Lat.Am.,0
265006,78237,13/04/2020,1,3G,79,EUR,Europe,213.44
541163,78240,04/07/2020,5,AIR,19,EUR,Europe,104.01
576649,78241,05/03/2020,1,SUPER,25,EUR,Lat.Am.,0
290501,78243,19/01/2019,1,AIR,49,EUR,Europe,492.26
428871,78245,02/06/2020,2,3G,39,EUR,Europe,66.11
432444,78247,09/04/2019,1,AIR,29,EUR,Europe,0
277194,78249,20/03/2020,1,3G,79,EUR,Europe,453.98
265012,78252,01/03/2019,4,AIR,49,EUR,Europe,519.31
498203,78253,08/11/2019,1,SUPER,35,EUR,Lat.Am.,29.69
130427,78255,03/01/2020,1,AIR,19,EUR,Europe,455.58
110312,78261,11/12/2019,1,TOTAL,39,EUR,Lat.Am.,361.5
453144,78262,29/09/2018,1,AIR,39,EUR,Europe,18.38
167225,78264,17/09/2019,1,3G,79,EUR,Europe,472.86
596725,78265,02/11/2019,1,AIR,29,EUR,Europe,263.47
418799,78267,16/04/2019,1,SUPER,25,EUR,Lat.Am.,478.48
396303,78271,14/09/2018,1,TOTAL,39,EUR,Lat.Am.,278.3
639787,78272,14/12/2018,5,AIR,49,EUR,Europe,122.93
421595,78274,05/02/2018,1,SUPER,36,EUR,Lat.Am.,142.72
234132,78276,06/03/2020,1,AIR,29,EUR,Europe,425.48
294273,78279,29/01/2020,1,AIR,19,EUR,Europe,361.44
421940,78280,21/07/2020,1,3G,79,EUR,Europe,437.86
148472,78285,30/12/2019,1,AIR,49,EUR,Europe,611.89
214280,78286,28/03/2019,1,SUPER,36,EUR,Lat.Am.,250.8
293017,78287,24/12/2019,1,SUPER,18,EUR,Lat.Am.,313
372965,78288,20/03/2019,5,3G,39,EUR,Europe,227.83
596205,78291,09/04/2019,1,AIR,29,EUR,Europe,168.55
583227,78293,15/04/2020,1,AIR,49,EUR,Europe,0
462345,78298,15/07/2019,1,AIR,49,EUR,Europe,52.47
517656,78299,12/10/2018,1,AIR,29,EUR,Europe,46.45
197978,78302,11/11/2018,1,SUPER,25,EUR,Lat.Am.,316.26
667554,78303,28/04/2020,4,AIR,49,EUR,Europe,341.61
496064,78305,07/06/2018,1,SUPER,25,EUR,Lat.Am.,0
556465,78306,30/03/2019,13,AIR,29,EUR,Europe,167.96
541834,78308,18/11/2019,1,AIR,29,EUR,Europe,204.06
260081,78309,23/06/2019,1,3G,39,EUR,Europe,667.25
523607,78310,02/01/2020,3,3G,79,EUR,Europe,237.41
322233,78312,04/01/2019,1,SUPER,25,EUR,Lat.Am.,91.6
506852,78314,02/08/2019,1,SUPER,25,EUR,Lat.Am.,389.22
252030,78315,28/10/2019,1,SUPER,18,EUR,Lat.Am.,0
739381,78317,12/07/2020,1,SUPER,25,EUR,Lat.Am.,0
407901,78318,29/03/2020,8,TOTAL,39,EUR,Lat.Am.,501.35
151304,78319,03/07/2020,1,AIR,49,EUR,Europe,334.52
692270,78320,19/06/2019,1,SUPER,18,EUR,Lat.Am.,228.76
317980,78321,13/01/2020,1,SUPER,18,EUR,Lat.Am.,261.21
674435,78322,08/07/2020,1,SUPER,18,EUR,Lat.Am.,357.76
596609,78323,20/03/2018,1,AIR,49,EUR,Europe,372.97
339893,78325,17/03/2020,1,3G,79,EUR,Europe,29.72
498195,78326,06/12/2019,1,TOTAL,25,EUR,Lat.Am.,504.01
533682,78327,17/09/2018,1,SUPER,25,EUR,Lat.Am.,0
660998,78328,12/07/2019,1,TOTAL,39,EUR,Lat.Am.,341.76
99212,78331,17/01/2019,1,TOTAL,39,EUR,Lat.Am.,450
514601,78332,01/11/2018,1,SUPER,36,EUR,Lat.Am.,238.01
507110,78333,25/05/2020,1,SUPER,18,EUR,Lat.Am.,400.63
330918,78336,06/10/2018,1,AIR,49,EUR,Europe,41.34
442760,78337,18/07/2018,1,AIR,49,EUR,Europe,30.37
447553,78341,26/09/2019,1,3G,39,EUR,Europe,674.75
276972,78344,06/06/2019,1,3G,39,EUR,Europe,568.12
289663,78345,07/12/2018,1,TOTAL,39,EUR,Lat.Am.,0
310378,78347,03/05/2020,1,SUPER,35,EUR,Lat.Am.,486.83
414849,78348,08/09/2019,1,AIR,29,EUR,Europe,155.26
106446,78351,18/08/2019,1,SUPER,36,EUR,Lat.Am.,60.04
551486,78352,20/02/2020,1,3G,79,EUR,Europe,240.9
613852,78353,01/02/2020,1,AIR,19,EUR,Europe,343.85
423210,78354,26/06/2020,1,3G,39,EUR,Europe,380.18
158534,78358,08/11/2019,1,SUPER,18,EUR,Lat.Am.,130.19
621663,78359,05/05/2020,1,3G,79,EUR,Europe,589.88
751984,78360,25/06/2020,1,AIR,29,EUR,Europe,511.3
591476,78361,30/12/2019,1,3G,39,EUR,Europe,374.74
443763,78363,19/07/2020,1,TOTAL,39,EUR,Lat.Am.,123.54
403692,78364,30/05/2020,1,AIR,29,EUR,Europe,328.42
726671,78365,12/03/2020,3,AIR,49,EUR,Europe,252.45
358485,78366,07/06/2018,1,AIR,49,EUR,Europe,0
161633,78367,20/05/2020,1,SUPER,18,EUR,Lat.Am.,238.89
103974,78369,26/01/2019,1,SUPER,25,EUR,Lat.Am.,146.95
650951,78372,02/03/2018,1,SUPER,36,EUR,Lat.Am.,337.31
335699,78375,24/01/2020,1,3G,39,EUR,Europe,749.96
72263,78377,17/05/2020,1,AIR,29,EUR,Europe,184.94
184493,78379,10/04/2020,1,SUPER,25,EUR,Lat.Am.,202.62
204052,78380,29/03/2020,1,3G,79,EUR,Europe,361.58
348850,78381,25/11/2018,1,AIR,49,EUR,Europe,553.81
161963,78382,07/04/2020,1,TOTAL,39,EUR,Lat.Am.,0
137489,78383,06/03/2020,8,AIR,49,EUR,Europe,281.77
385109,78385,20/05/2020,1,3G,39,EUR,Europe,200.57
566225,78386,25/07/2020,3,AIR,49,EUR,Europe,108.1
503640,78387,25/07/2020,1,3G,79,EUR,Europe,391.83
254843,78388,12/01/2019,2,AIR,29,EUR,Europe,473.37
438389,78394,09/03/2020,1,TOTAL,39,EUR,Lat.Am.,38.61
649480,78395,28/12/2018,1,SUPER,25,EUR,Lat.Am.,543.27
614444,78397,13/05/2019,1,3G,39,EUR,Europe,593.73
64508,78400,23/04/2020,1,AIR,49,EUR,Europe,143.84
432875,78401,05/07/2020,1,3G,39,EUR,Europe,220.96
451257,78402,19/04/2019,1,TOTAL,39,EUR,Lat.Am.,264.84
588918,78403,19/10/2018,1,AIR,29,EUR,Europe,572.14
77088,78404,29/11/2018,1,AIR,29,EUR,Europe,382.61
559717,78406,21/08/2019,2,AIR,49,EUR,Europe,227.18
379058,78408,19/04/2020,1,3G,79,EUR,Europe,569.03
587403,78409,27/09/2019,1,SUPER,25,EUR,Lat.Am.,152.7
632213,78412,23/09/2018,1,SUPER,25,EUR,Lat.Am.,315.14
97485,78417,01/08/2019,1,AIR,49,EUR,Europe,170.19
765657,78419,20/09/2018,1,AIR,29,EUR,Europe,549.66
701499,78420,27/07/2020,1,TOTAL,39,EUR,Lat.Am.,0
431124,78422,01/10/2019,1,AIR,19,EUR,Europe,265.86
605928,78423,23/07/2020,1,3G,79,EUR,Europe,434.16
531319,78424,06/11/2018,1,SUPER,20,EUR,Lat.Am.,202.69
734967,78429,14/12/2019,1,3G,39,EUR,Europe,239.88
589365,78430,28/02/2019,1,SUPER,18,EUR,Lat.Am.,197.7
415739,78433,22/05/2020,1,SUPER,25,EUR,Lat.Am.,105.29
162229,78434,02/01/2020,1,TOTAL,25,EUR,Lat.Am.,174.45
695779,78435,31/03/2019,1,AIR,29,EUR,Europe,391.73
621638,78436,05/07/2020,1,3G,39,EUR,Europe,187.82
219914,78437,21/12/2018,1,AIR,29,EUR,Europe,196.65
125259,78438,01/10/2018,3,AIR,49,EUR,Europe,221.45
233922,78439,05/10/2018,1,TOTAL,39,EUR,Lat.Am.,175.07
178769,78440,25/04/2019,1,AIR,19,EUR,Europe,408.56
339079,78441,25/03/2019,1,AIR,49,EUR,Europe,9.08
414463,78442,02/03/2019,1,SUPER,36,EUR,Lat.Am.,302.02
346987,78443,12/12/2018,1,AIR,49,EUR,Europe,73.18
634296,78444,17/06/2020,1,3G,79,EUR,Europe,279.54
489508,78446,12/04/2019,1,SUPER,18,EUR,Lat.Am.,367.11
71605,78448,25/10/2018,1,TOTAL,39,EUR,Lat.Am.,260.82
505152,78449,16/07/2020,1,3G,39,EUR,Europe,107.34
120284,78453,18/11/2019,1,3G,39,EUR,Europe,206.99
348493,78455,15/05/2019,1,TOTAL,39,EUR,Lat.Am.,113.07
739128,78456,01/12/2019,1,AIR,49,EUR,Europe,175.22
762124,78457,18/07/2020,1,AIR,19,EUR,Europe,437.71
