date,channelgrouping,merchantid,fullvisitorid,orderid,goal_fk,market
07/01/2018 01:57:43,facebook,,6.51E+14,,1,Europe
07/01/2018 03:21:55,direct,571825,6.72E+14,85689,3,Lat.Am.
07/01/2018 04:19:34,search_brand,639070,6.70E+14,94142,3,Europe
07/01/2018 08:16:36,blog,363595,6.60E+14,86705,2,Europe
07/01/2018 08:20:57,facebook,,6.54E+14,,1,Europe
07/01/2018 11:36:41,search_organic,,6.53E+14,,1,Lat.Am.
07/01/2018 14:25:34,search_brand,67626,6.78E+14,101268,3,Europe
07/01/2018 15:36:35,blog,233476,6.61E+14,99842,2,Europe
07/01/2018 17:51:14,facebook,293017,6.57E+14,78287,2,Lat.Am.
07/01/2018 18:04:49,search_organic,746832,6.67E+14,98623,3,Europe
07/01/2018 20:05:35,search_brand,233476,6.61E+14,99842,3,Europe
07/01/2018 20:35:29,search_brand,,6.51E+14,,1,Europe
07/01/2018 20:46:17,adwords,170353,6.78E+14,98502,3,Europe
07/01/2018 21:21:58,facebook,,6.59E+14,,1,Lat.Am.
07/01/2018 22:26:27,adwords,,6.50E+14,,1,Lat.Am.
07/01/2018 23:27:53,search_brand,,6.73E+14,,1,Lat.Am.
08/01/2018 02:52:09,adwords,713031,6.50E+14,79299,2,Europe
08/01/2018 03:16:53,search_organic,,6.74E+14,,1,Europe
08/01/2018 03:21:39,direct,,6.56E+14,,1,Lat.Am.
08/01/2018 03:59:27,facebook,763240,6.57E+14,82623,2,Lat.Am.
08/01/2018 04:29:00,blog,,6.59E+14,,1,Europe
08/01/2018 05:15:47,facebook,,6.49E+14,,1,Europe
08/01/2018 05:29:20,direct,398858,6.65E+14,102651,3,Lat.Am.
08/01/2018 08:08:13,adwords,345858,6.66E+14,97303,3,Europe
08/01/2018 08:20:18,blog,,6.60E+14,,1,Lat.Am.
08/01/2018 09:45:14,direct,,6.60E+14,,1,Lat.Am.
08/01/2018 10:39:14,adwords,,6.70E+14,,1,Europe
08/01/2018 11:44:59,blog,713335,6.60E+14,87177,3,Lat.Am.
08/01/2018 13:06:33,adwords,466553,6.50E+14,88634,2,Europe
08/01/2018 13:29:26,adwords,,6.58E+14,,1,Europe
08/01/2018 13:55:23,facebook,713031,6.50E+14,79299,3,Europe
08/01/2018 18:23:37,facebook,,6.58E+14,,1,Europe
08/01/2018 23:36:36,facebook,,6.49E+14,,1,Europe
08/01/2018 23:49:57,facebook,,6.64E+14,,1,Lat.Am.
09/01/2018 01:40:50,adwords,713758,6.49E+14,103834,2,Europe
09/01/2018 01:51:21,search_organic,,6.49E+14,,1,Europe
09/01/2018 02:34:19,facebook,,6.55E+14,,1,Europe
09/01/2018 02:56:00,facebook,,6.69E+14,,1,Europe
09/01/2018 03:28:32,direct,615650,6.81E+14,98018,3,Lat.Am.
09/01/2018 06:26:24,adwords,,6.50E+14,,1,Europe
09/01/2018 09:23:46,search_organic,193145,6.74E+14,84849,3,Europe
09/01/2018 10:11:33,blog,99407,6.60E+14,87696,2,Europe
09/01/2018 10:20:10,search_organic,,6.54E+14,,1,Europe
09/01/2018 12:15:14,search_brand,,6.54E+14,,1,Europe
09/01/2018 13:16:20,blog,,6.63E+14,,1,Lat.Am.
09/01/2018 13:17:57,facebook,,6.54E+14,,1,Lat.Am.
09/01/2018 13:21:53,adwords,,6.59E+14,,1,Europe
09/01/2018 13:35:04,search_brand,627386,6.57E+14,102436,2,Lat.Am.
09/01/2018 15:38:59,search_brand,466553,6.50E+14,88634,3,Europe
09/01/2018 16:01:37,search_organic,,6.52E+14,,1,Lat.Am.
09/01/2018 19:37:47,search_brand,405681,6.58E+14,96470,2,Europe
09/01/2018 20:17:57,blog,714700,6.61E+14,88045,2,Europe
09/01/2018 22:46:01,adwords,,6.61E+14,,1,Europe
09/01/2018 23:24:13,facebook,99407,6.60E+14,87696,3,Europe
10/01/2018 00:26:27,adwords,,6.82E+14,,1,Lat.Am.
10/01/2018 01:29:32,direct,,6.52E+14,,1,Europe
10/01/2018 04:29:55,search_brand,98804,6.78E+14,83072,3,Europe
10/01/2018 04:56:50,facebook,,6.57E+14,,1,Europe
10/01/2018 05:45:31,direct,286880,6.81E+14,95706,3,Europe
10/01/2018 10:38:15,adwords,,6.61E+14,,1,Lat.Am.
10/01/2018 11:14:59,direct,,6.51E+14,,1,Lat.Am.
10/01/2018 12:36:23,adwords,,6.52E+14,,1,Lat.Am.
10/01/2018 13:34:13,search_organic,344634,6.64E+14,79831,3,Europe
10/01/2018 13:55:28,direct,,6.55E+14,,1,Lat.Am.
10/01/2018 14:56:17,direct,190113,6.61E+14,97916,2,Europe
10/01/2018 15:03:32,facebook,,6.78E+14,,1,Europe
10/01/2018 15:16:31,search_organic,515745,6.66E+14,93988,3,Lat.Am.
10/01/2018 15:17:55,facebook,592063,6.58E+14,91811,2,Europe
10/01/2018 16:12:58,facebook,,6.64E+14,,1,Europe
10/01/2018 16:19:13,adwords,,6.63E+14,,1,Lat.Am.
10/01/2018 17:33:21,search_organic,,6.74E+14,,1,Europe
10/01/2018 17:37:24,search_organic,,6.71E+14,,1,Europe
10/01/2018 17:47:14,facebook,227356,6.69E+14,80238,3,Lat.Am.
10/01/2018 19:05:09,direct,580663,6.61E+14,92600,2,Europe
10/01/2018 19:39:30,direct,714700,6.61E+14,88045,3,Europe
10/01/2018 20:31:09,facebook,464465,6.55E+14,90579,2,Europe
10/01/2018 22:13:01,blog,,6.62E+14,,1,Europe
10/01/2018 23:48:23,facebook,502296,6.82E+14,78959,3,Lat.Am.
10/01/2018 23:51:06,search_brand,,6.63E+14,,1,Lat.Am.
11/01/2018 00:36:55,facebook,414919,6.78E+14,99783,3,Europe
11/01/2018 02:27:07,facebook,526010,6.49E+14,99776,2,Lat.Am.
11/01/2018 04:10:36,search_brand,608109,6.53E+14,78063,2,Europe
11/01/2018 04:33:34,search_organic,274067,6.53E+14,97247,2,Lat.Am.
11/01/2018 04:36:53,facebook,,6.56E+14,,1,Europe
11/01/2018 07:43:38,blog,,6.63E+14,,1,Lat.Am.
11/01/2018 09:13:48,direct,381921,6.68E+14,79944,3,Europe
11/01/2018 11:23:09,search_brand,,6.76E+14,,1,Europe
11/01/2018 12:19:40,blog,593048,6.60E+14,94183,2,Lat.Am.
11/01/2018 15:59:23,facebook,439434,6.66E+14,98514,3,Europe
11/01/2018 16:45:09,search_brand,572473,6.57E+14,96601,2,Europe
11/01/2018 18:24:12,adwords,,6.63E+14,,1,Europe
11/01/2018 19:28:02,facebook,504325,6.61E+14,101853,2,Lat.Am.
11/01/2018 20:06:23,adwords,,6.53E+14,,1,Europe
11/01/2018 20:27:27,adwords,146671,6.54E+14,84264,2,Europe
11/01/2018 21:43:48,direct,191320,6.66E+14,87703,3,Lat.Am.
11/01/2018 23:10:32,facebook,696129,6.68E+14,89157,3,Europe
12/01/2018 00:55:47,facebook,559541,6.74E+14,77791,3,Lat.Am.
12/01/2018 01:31:16,facebook,,6.53E+14,,1,Europe
12/01/2018 01:44:31,facebook,664964,6.63E+14,95379,2,Lat.Am.
12/01/2018 01:55:12,adwords,,6.81E+14,,1,Europe
12/01/2018 02:16:51,search_organic,,6.51E+14,,1,Europe
12/01/2018 02:51:15,direct,,6.81E+14,,1,Lat.Am.
12/01/2018 02:57:03,search_brand,694541,6.60E+14,94953,2,Lat.Am.
12/01/2018 03:13:25,adwords,,6.58E+14,,1,Europe
12/01/2018 03:45:04,search_organic,766341,6.51E+14,98548,2,Europe
12/01/2018 04:02:33,search_brand,96757,6.66E+14,94012,3,Europe
12/01/2018 05:10:25,facebook,,6.74E+14,,1,Lat.Am.
12/01/2018 05:43:40,facebook,,6.76E+14,,1,Europe
12/01/2018 06:31:01,blog,,6.63E+14,,1,Europe
12/01/2018 06:57:58,facebook,,6.58E+14,,1,Europe
12/01/2018 07:00:44,adwords,154619,6.83E+14,92140,3,Europe
12/01/2018 07:06:30,adwords,274067,6.53E+14,97247,3,Lat.Am.
12/01/2018 07:29:37,search_brand,,6.50E+14,,1,Europe
12/01/2018 08:05:20,adwords,146671,6.54E+14,84264,3,Europe
12/01/2018 09:30:10,search_brand,226287,6.67E+14,98460,3,Lat.Am.
12/01/2018 09:59:59,search_brand,,6.68E+14,,1,Europe
12/01/2018 10:54:05,facebook,597184,6.80E+14,103852,3,Europe
12/01/2018 11:27:34,search_brand,67983,6.51E+14,94439,2,Europe
12/01/2018 11:57:08,facebook,,6.58E+14,,1,Europe
12/01/2018 13:37:06,adwords,,6.84E+14,,1,Lat.Am.
12/01/2018 16:59:49,facebook,766341,6.51E+14,98548,3,Europe
12/01/2018 17:41:09,facebook,,6.65E+14,,1,Lat.Am.
12/01/2018 19:27:33,facebook,64371,6.84E+14,98167,3,Europe
12/01/2018 19:40:11,blog,,6.63E+14,,1,Europe
12/01/2018 20:07:00,facebook,451706,6.60E+14,103076,2,Lat.Am.
12/01/2018 20:19:32,blog,599820,6.63E+14,91055,2,Europe
12/01/2018 21:19:58,adwords,391779,6.71E+14,79584,3,Lat.Am.
12/01/2018 21:53:48,adwords,655507,6.57E+14,92394,2,Europe
12/01/2018 22:00:15,search_brand,,6.72E+14,,1,Lat.Am.
12/01/2018 22:13:57,search_brand,465384,6.60E+14,104387,2,Lat.Am.
12/01/2018 22:48:33,facebook,,6.51E+14,,1,Lat.Am.
13/01/2018 01:23:30,facebook,475954,6.70E+14,103127,3,Europe
13/01/2018 01:51:00,direct,440713,6.53E+14,96988,2,Europe
13/01/2018 02:27:11,adwords,756755,6.79E+14,88505,3,Europe
13/01/2018 02:56:02,facebook,599820,6.63E+14,91055,3,Europe
13/01/2018 02:59:44,facebook,,6.61E+14,,1,Europe
13/01/2018 04:28:56,facebook,,6.83E+14,,1,Europe
13/01/2018 04:33:49,facebook,303688,6.52E+14,102605,2,Lat.Am.
13/01/2018 05:40:05,facebook,,6.52E+14,,1,Europe
13/01/2018 05:55:23,facebook,114569,6.58E+14,98186,2,Europe
13/01/2018 06:49:14,facebook,,6.81E+14,,1,Europe
13/01/2018 08:28:42,blog,,6.60E+14,,1,Europe
13/01/2018 09:14:14,facebook,,6.58E+14,,1,Europe
13/01/2018 09:34:27,direct,,6.61E+14,,1,Lat.Am.
13/01/2018 13:22:30,search_brand,,6.56E+14,,1,Europe
13/01/2018 13:55:25,facebook,,6.73E+14,,1,Europe
13/01/2018 14:43:52,adwords,,6.83E+14,,1,Lat.Am.
13/01/2018 16:57:03,facebook,110951,6.51E+14,95267,2,Europe
13/01/2018 17:04:34,adwords,,6.56E+14,,1,Europe
13/01/2018 17:15:36,facebook,,6.70E+14,,1,Europe
13/01/2018 17:49:11,blog,,6.59E+14,,1,Lat.Am.
13/01/2018 18:05:03,direct,,6.49E+14,,1,Europe
13/01/2018 18:29:39,facebook,726154,6.82E+14,81758,3,Lat.Am.
13/01/2018 18:57:39,facebook,746126,6.77E+14,88464,3,Europe
13/01/2018 19:12:12,adwords,80045,6.66E+14,82286,3,Lat.Am.
13/01/2018 19:13:17,adwords,608523,6.69E+14,79942,3,Lat.Am.
13/01/2018 19:35:04,facebook,,6.65E+14,,1,Europe
13/01/2018 20:04:40,adwords,,6.54E+14,,1,Lat.Am.
13/01/2018 20:22:29,search_brand,,6.66E+14,,1,Europe
13/01/2018 20:52:58,facebook,,6.56E+14,,1,Europe
13/01/2018 21:00:46,adwords,,6.51E+14,,1,Europe
13/01/2018 21:32:01,search_brand,,6.49E+14,,1,Europe
14/01/2018 00:09:39,adwords,138493,6.69E+14,89611,3,Europe
14/01/2018 01:51:57,adwords,373501,6.68E+14,104975,3,Europe
14/01/2018 02:17:35,search_brand,285029,6.77E+14,90482,3,Lat.Am.
14/01/2018 02:31:12,search_brand,643774,6.57E+14,94867,2,Europe
14/01/2018 03:04:03,direct,133211,6.76E+14,93084,3,Lat.Am.
14/01/2018 03:54:40,facebook,,6.71E+14,,1,Europe
14/01/2018 03:56:38,blog,690015,6.60E+14,96604,2,Europe
14/01/2018 04:13:13,facebook,110951,6.51E+14,95267,3,Europe
14/01/2018 04:51:33,adwords,,6.57E+14,,1,Europe
14/01/2018 05:11:47,facebook,,6.58E+14,,1,Europe
14/01/2018 05:17:24,adwords,,6.57E+14,,1,Europe
14/01/2018 05:20:21,search_organic,538364,6.76E+14,88127,3,Europe
14/01/2018 07:01:35,facebook,,6.73E+14,,1,Europe
14/01/2018 07:27:21,adwords,687886,6.63E+14,87600,2,Europe
14/01/2018 07:29:51,facebook,,6.51E+14,,1,Europe
14/01/2018 08:04:42,blog,687886,6.63E+14,87600,3,Europe
14/01/2018 08:29:38,facebook,302451,6.56E+14,98547,2,Europe
14/01/2018 09:21:06,facebook,249698,6.61E+14,98251,2,Lat.Am.
14/01/2018 09:50:46,adwords,690015,6.60E+14,96604,3,Europe
14/01/2018 09:56:32,adwords,,6.62E+14,,1,Europe
14/01/2018 10:31:46,search_brand,296492,6.52E+14,92392,2,Lat.Am.
14/01/2018 10:36:56,blog,,6.60E+14,,1,Lat.Am.
14/01/2018 11:47:20,blog,,6.62E+14,,1,Europe
14/01/2018 15:19:09,search_organic,643774,6.57E+14,94867,3,Europe
14/01/2018 15:22:26,facebook,,6.80E+14,,1,Lat.Am.
14/01/2018 16:25:03,direct,357873,6.58E+14,96691,2,Europe
14/01/2018 17:26:11,direct,,6.59E+14,,1,Lat.Am.
14/01/2018 17:38:44,blog,249698,6.61E+14,98251,3,Lat.Am.
14/01/2018 20:38:26,facebook,357873,6.58E+14,96691,3,Europe
14/01/2018 21:30:10,adwords,,6.80E+14,,1,Europe
14/01/2018 21:48:32,search_organic,,6.75E+14,,1,Europe
14/01/2018 21:57:29,blog,,6.61E+14,,1,Lat.Am.
15/01/2018 00:21:13,search_brand,,6.76E+14,,1,Europe
15/01/2018 03:42:14,search_organic,257399,6.56E+14,81583,2,Europe
15/01/2018 07:19:24,facebook,,6.49E+14,,1,Europe
15/01/2018 08:32:14,adwords,,6.84E+14,,1,Europe
15/01/2018 09:46:35,facebook,,6.69E+14,,1,Lat.Am.
15/01/2018 10:28:46,facebook,,6.56E+14,,1,Europe
15/01/2018 12:06:09,search_brand,,6.52E+14,,1,Europe
15/01/2018 16:28:30,facebook,303688,6.52E+14,102605,3,Lat.Am.
15/01/2018 16:55:26,blog,350324,6.64E+14,88520,2,Europe
15/01/2018 18:48:18,facebook,,6.81E+14,,1,Lat.Am.
15/01/2018 21:43:43,adwords,478099,6.56E+14,96959,2,Lat.Am.
15/01/2018 22:14:51,blog,,6.62E+14,,1,Europe
15/01/2018 23:00:12,facebook,,6.66E+14,,1,Europe
16/01/2018 06:21:17,adwords,664831,6.84E+14,79970,3,Europe
16/01/2018 07:26:05,search_organic,,6.61E+14,,1,Europe
16/01/2018 08:06:00,search_brand,,6.73E+14,,1,Lat.Am.
16/01/2018 08:13:38,adwords,417443,6.77E+14,84065,3,Europe
16/01/2018 10:06:22,facebook,,6.76E+14,,1,Europe
16/01/2018 10:50:06,blog,749582,6.60E+14,97071,2,Europe
16/01/2018 13:24:23,search_brand,425664,6.80E+14,102532,3,Lat.Am.
16/01/2018 13:52:32,adwords,350245,6.58E+14,94206,2,Europe
16/01/2018 17:13:06,adwords,350324,6.64E+14,88520,3,Europe
16/01/2018 19:01:42,adwords,,6.65E+14,,1,Europe
16/01/2018 22:59:11,search_brand,428225,6.74E+14,97022,3,Europe
17/01/2018 00:06:02,direct,614006,6.62E+14,97801,3,Europe
17/01/2018 03:27:44,search_organic,,6.56E+14,,1,Lat.Am.
17/01/2018 03:33:21,adwords,607552,6.49E+14,95642,2,Lat.Am.
17/01/2018 03:57:44,facebook,,6.57E+14,,1,Europe
17/01/2018 07:29:12,adwords,247800,6.65E+14,94054,3,Europe
17/01/2018 10:11:04,search_brand,,6.56E+14,,1,Lat.Am.
17/01/2018 10:16:49,adwords,,6.81E+14,,1,Europe
17/01/2018 10:26:31,facebook,655968,6.54E+14,94466,3,Lat.Am.
17/01/2018 11:32:40,search_brand,124895,6.81E+14,104854,3,Lat.Am.
17/01/2018 12:24:06,facebook,749582,6.60E+14,97071,3,Europe
17/01/2018 13:07:10,search_brand,,6.80E+14,,1,Europe
17/01/2018 13:27:51,facebook,134369,6.58E+14,79848,2,Lat.Am.
17/01/2018 13:34:31,search_brand,,6.68E+14,,1,Europe
17/01/2018 14:02:50,blog,206554,6.60E+14,101098,2,Europe
17/01/2018 14:30:25,facebook,,6.56E+14,,1,Lat.Am.
17/01/2018 17:40:22,facebook,253293,6.82E+14,93138,3,Europe
17/01/2018 19:09:35,facebook,276990,6.49E+14,89884,3,Europe
17/01/2018 19:14:42,search_brand,,6.74E+14,,1,Europe
17/01/2018 19:22:39,search_brand,626557,6.63E+14,95972,2,Europe
17/01/2018 21:58:18,facebook,156431,6.75E+14,99980,3,Europe
17/01/2018 23:39:10,facebook,,6.83E+14,,1,Europe
18/01/2018 00:34:56,search_organic,586957,6.54E+14,98988,2,Europe
18/01/2018 00:59:47,adwords,,6.79E+14,,1,Europe
18/01/2018 01:26:06,search_brand,236334,6.82E+14,78714,3,Europe
18/01/2018 03:08:24,adwords,508485,6.57E+14,78550,2,Europe
18/01/2018 03:41:22,adwords,645393,6.50E+14,102460,2,Europe
18/01/2018 04:00:53,adwords,205983,6.51E+14,77795,3,Lat.Am.
18/01/2018 04:56:08,facebook,,6.65E+14,,1,Lat.Am.
18/01/2018 08:11:41,adwords,134369,6.58E+14,79848,3,Lat.Am.
18/01/2018 09:16:11,facebook,645393,6.50E+14,102460,3,Europe
18/01/2018 09:16:44,adwords,,6.50E+14,,1,Europe
18/01/2018 10:35:17,facebook,,6.57E+14,,1,Lat.Am.
18/01/2018 11:16:30,search_brand,615092,6.54E+14,99041,2,Lat.Am.
18/01/2018 11:47:51,facebook,756751,6.55E+14,87536,3,Lat.Am.
18/01/2018 13:22:54,direct,,6.57E+14,,1,Lat.Am.
18/01/2018 13:40:09,blog,103185,6.62E+14,95307,3,Europe
18/01/2018 15:29:47,blog,,6.61E+14,,1,Europe
18/01/2018 16:44:59,facebook,,6.78E+14,,1,Europe
18/01/2018 17:19:34,adwords,,6.76E+14,,1,Lat.Am.
